date,year,tnx_yield,qqq_price,tnx_change_bp,tnx_change_pct,qqq_return
2020-09-28,2020,0.6629999876022339,268.17779541015625,0.40000081062316895,0.0040000081062316895,0.020768731730294032
2020-09-29,2020,0.6449999809265137,266.96856689453125,-1.8000006675720215,-0.018000006675720215,-0.004509055321957556
2020-09-30,2020,0.6769999861717224,268.7969970703125,3.200000524520874,0.03200000524520874,0.006848859388392414
2020-10-01,2020,0.6769999861717224,273.0635070800781,0.0,0.0,0.015872610394711995
2020-10-02,2020,0.6959999799728394,265.38189697265625,1.8999993801116943,0.018999993801116943,-0.028131221888866964
2020-10-05,2020,0.7620000243186951,271.0415344238281,6.600004434585571,0.06600004434585571,0.021326388558278397
2020-10-06,2020,0.7419999837875366,266.20428466796875,-2.0000040531158447,-0.020000040531158447,-0.01784689481684887
2020-10-07,2020,0.7850000262260437,270.80926513671875,4.300004243850708,0.04300004243850708,0.017298671486425166
2020-10-08,2020,0.7649999856948853,272.2508239746094,-2.0000040531158447,-0.020000040531158447,0.005323151839590423
2020-10-09,2020,0.7749999761581421,276.41082763671875,0.9999990463256836,0.009999990463256836,0.015280040667562389
2020-10-12,2020,0.7770000100135803,284.94384765625,0.20000338554382324,0.0020000338554382324,0.030870787850416637
2020-10-13,2020,0.7269999980926514,284.93402099609375,-5.0000011920928955,-0.050000011920928955,-3.448630401070574e-05
2020-10-14,2020,0.722000002861023,282.5541687011719,-0.4999995231628418,-0.004999995231628418,-0.008352292529344885
2020-10-15,2020,0.7310000061988831,280.657958984375,0.9000003337860107,0.009000003337860107,-0.006710959974553732
2020-10-16,2020,0.7440000176429749,279.1197814941406,1.3000011444091797,0.013000011444091797,-0.005480612400234897
2020-10-19,2020,0.7609999775886536,274.56292724609375,1.699995994567871,0.01699995994567871,-0.0163258018605984
2020-10-20,2020,0.796999990940094,275.1531677246094,3.600001335144043,0.03600001335144043,0.002149745722905161
2020-10-21,2020,0.8159999847412109,274.94036865234375,1.8999993801116943,0.018999993801116943,-0.0007733840537813563
2020-10-22,2020,0.8479999899864197,274.9305419921875,3.200000524520874,0.03200000524520874,-3.574105979564646e-05
2020-10-23,2020,0.8410000205039978,275.4723815917969,-0.6999969482421875,-0.006999969482421875,0.00197082359669154
2020-10-26,2020,0.8009999990463257,271.3414306640625,-4.000002145767212,-0.04000002145767212,-0.014995880544771745
